Year,Month,Day,DNI Mean,DNI Max,DNI Min,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temp Max,Temp Min,Temperature,Pressure,Power Consumption,Weekday,University Name,Building Name,Square Feet,Type
2019,8,26,666.1481481481482,942,1,2.262962962962963,1.3185185185185186,259.22222222222223,43.820740740740746,29.6,14.8,24.48518518518519,992.2222222222222,888.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,27,576.5925925925926,909,11,2.6259259259259258,2.396296296296296,250.96296296296296,46.68074074074073,27.5,14.9,23.262962962962963,990.5555555555555,883.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,28,142.84,403,3,3.4320000000000004,3.2319999999999998,256.28,63.21,23.8,15.5,21.06,993.92,883.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,29,582.074074074074,939,4,3.3777777777777778,1.766666666666666,259.5925925925926,66.26999999999998,24.0,16.2,21.2037037037037,997.5185185185185,842.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,30,683.4074074074074,950,18,2.733333333333334,1.1481481481481484,265.962962962963,61.30333333333333,26.2,14.6,21.951851851851856,996.3703703703703,843.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,31,742.1923076923077,956,27,2.526923076923077,1.1884615384615385,260.5769230769231,51.0373076923077,28.7,15.5,24.369230769230775,993.4615384615385,881.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,1,771.9230769230769,948,123,2.6538461538461537,1.7846153846153843,276.96153846153845,47.39192307692307,28.5,16.7,24.696153846153837,993.5,893.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,2,747.4230769230769,919,82,3.276923076923077,2.0884615384615386,268.34615384615387,61.13884615384615,26.1,16.5,22.269230769230766,994.5384615384615,886.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,3,725.1153846153846,960,96,3.3461538461538467,1.6153846153846154,272.96153846153845,59.31000000000001,25.2,15.0,21.80384615384616,994.5769230769231,897.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,4,652.6923076923077,891,52,2.850000000000001,2.5999999999999996,268.5769230769231,58.30576923076924,25.9,15.2,22.111538461538455,992.1923076923077,864.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,5,646.2692307692307,933,5,3.6653846153846157,2.046153846153846,270.1923076923077,63.47153846153845,23.3,15.1,20.40769230769231,995.8846153846154,957.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,6,630.3461538461538,958,47,3.0346153846153845,1.1307692307692312,265.96153846153845,64.13115384615385,23.9,14.3,20.492307692307694,998.1923076923077,687.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,7,233.43478260869566,721,9,4.9739130434782615,1.586956521739131,270.82608695652175,73.48782608695653,20.9,16.1,18.830434782608698,996.695652173913,700.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
