,UMASS Amherst - Computer Science null,UMASS Amherst - Fine Arts Center null,UMASS Amherst - Recreation Center null,Day,Month,Year,Date,DHI,DNI Max,DNI Min,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
120,,,,,,,,212.3636363636364,855,4,332.27272727272725,425.8181818181818,115.63636363636364,712.8181818181819,620.8181818181819,0.06363636363636363,2.322090909090909,165.32727272727269,81.15454545454546,16.181818181818183,980.0
121,,,,,,,,236.66666666666663,265,1,63.77777777777778,267.44444444444446,127.33333333333331,754.8888888888888,669.2222222222222,0.0,1.362777777777778,195.46666666666664,68.21888888888888,12.777777777777779,980.0
122,,,,,,,,257.61538461538464,532,9,221.9230769230769,393.92307692307685,97.53846153846152,795.1538461538463,619.9230769230769,0.0,1.1389230769230767,279.8230769230769,66.55692307692307,6.846153846153847,990.0
123,,,,,,,,218.3,548,3,190.4,336.1,124.5,759.4,677.3,0.0,1.1911,268.5,59.776,8.9,1000.0
124,,,,,,,,234.46153846153842,571,13,156.69230769230768,330.53846153846155,100.23076923076924,764.6923076923077,614.6923076923077,0.0,1.2771538461538459,331.9307692307692,56.90615384615384,11.538461538461537,1000.0
125,,,,,,,,217.5,871,65,416.57142857142856,432.78571428571433,87.42857142857143,765.3571428571429,585.1428571428571,0.0071428571428571435,1.2614285714285711,54.01428571428572,60.729285714285716,13.071428571428573,997.1428571428572
126,,,,,,,,213.83333333333331,902,27,335.0,430.16666666666674,103.25,767.8333333333335,644.3333333333334,0.0,1.35475,85.575,65.09333333333333,14.666666666666664,1000.0
127,,,,,,,,298.5,39,14,25.125,319.125,180.875,745.875,773.125,0.0,2.061,117.35,83.63,10.875,995.0
128,,,,,,,,264.72727272727275,479,13,106.54545454545456,340.3636363636364,93.27272727272728,850.8181818181819,699.8181818181819,0.0,1.7833636363636365,249.75454545454548,81.23818181818181,10.272727272727273,982.7272727272727
129,,,,,,,,237.0,554,3,182.15384615384616,347.53846153846155,96.46153846153848,759.7692307692308,611.6153846153846,0.0923076923076923,2.193846153846154,321.7000000000001,82.55692307692307,12.153846153846152,984.6153846153846
130,,,,,,,,139.85714285714286,917,233,635.7142857142858,549.8571428571429,94.5,733.7857142857142,579.5,0.0,2.068285714285714,297.84285714285716,66.69642857142857,18.0,996.4285714285713
131,,,,,,,,117.64285714285714,895,212,645.0714285714286,553.5,105.85714285714286,681.0,566.1428571428571,0.0,2.7444999999999995,227.7428571428571,70.77571428571429,24.285714285714285,992.1428571428572
132,,,,,,,,156.07142857142858,879,172,565.3571428571429,533.2142857142857,114.35714285714286,670.1428571428571,568.9285714285714,0.0,2.4472142857142853,235.5071428571429,70.35,26.57142857142857,990.0
133,,,,,,,,162.07142857142858,824,94,557.7142857142857,518.3571428571429,124.14285714285714,647.3571428571429,560.4285714285714,0.028571428571428574,2.841285714285714,284.7142857142857,75.49071428571428,23.285714285714285,991.4285714285713
134,,,,,,,,84.64285714285714,967,327,793.9285714285713,610.5,84.64285714285714,793.9285714285713,610.5,0.0071428571428571435,1.0020000000000002,115.6857142857143,50.06714285714286,16.5,1009.2857142857144
135,,,,,,,,190.35714285714286,851,9,354.42857142857144,418.4285714285714,109.64285714285714,699.5714285714287,580.0,0.0,2.1252142857142857,125.30714285714285,59.44714285714285,16.928571428571427,1006.4285714285713
136,,,,,,,,255.0,89,6,29.2,275.4,171.6,744.2,777.4,0.0,3.264,172.4,81.25399999999998,13.0,1000.0
137,,,,,,,,252.5,640,41,295.2142857142857,430.8571428571428,109.92857142857143,722.3571428571429,592.5714285714286,0.0642857142857143,1.6372857142857142,311.7642857142858,68.75285714285714,16.928571428571427,992.1428571428572
